OBJECTID,maint_id,grnd_name,grnd_desc,area_size,Responsibility,ResponsibilityAO,Brigade
1,RILEY12901,Custer Hill Troop,PW-14 Day,1.380385102,Troop,88316,1 CAB
2,RILEY15148,Custer Hill Troop,Type-B,0.034969602,PWKenny,,
3,RILEY15339,Custer Hill Troop,PW-14 Day,9.308030405,Troop,7103,1 BDE
4,RILEY15340,Custer Hill Troop,PW-14 Day,4.776832932,Troop,8410,1 BDE
5,RILEY15341,Custer Hill Troop,PW-14 Day,3.818098245,Troop,7232,1 BDE
6,RILEY15342,Custer Hill Troop,PW-14 Day,1.574000595,Troop,7011,1 BDE
7,RILEY15343,Custer Hill Troop,PW-14 Day,2.974021903,Troop,7550,2 BDE
8,RILEY15345,Custer Hill Troop,PW-14 Day,1.365418932,Troop,8460,
9,RILEY15346,Custer Hill Troop,PW-14 Day,1.401438146,Troop,7120,1 BDE
10,RILEY15347,Custer Hill Troop,PW-14 Day,1.27873689,Troop,7050,1 BDE
11,RILEY15348,Custer Hill Troop,PW-14 Day,1.15957994,Troop,7120,1 BDE
12,RILEY15349,Custer Hill Troop,PW-14 Day,1.029844779,Troop,7305,1 BDE
13,RILEY15350,Custer Hill Troop,PW-14 Day,0.565728267,Troop,8390,1 BDE
14,RILEY15351,Custer Hill Troop,PW-14 Day,0.96771208,Troop,7120,1 BDE
15,RILEY15354,Custer Hill Troop,PW-14 Day,0.94115634,Troop,7270,2 BDE
16,RILEY15356,Custer Hill Troop,PW-14 Day,0.749547497,Troop,7212,1 BDE
17,RILEY15357,Custer Hill Troop,PW-14 Day,0.733457991,Troop,7002,1 BDE
18,RILEY15359,Custer Hill Troop,PW-14 Day,1.274036451,Troop,7270,2 BDE
19,RILEY15360,Custer Hill Troop,PW-14 Day,0.642391438,Troop,7002,1 BDE
20,RILEY15361,Custer Hill Troop,PW-14 Day,0.595908783,Troop,7103,1 BDE
21,RILEY15363,Custer Hill Troop,PW-14 Day,0.53784369,Troop,7103,1 BDE
22,RILEY15364,Custer Hill Troop,PW-14 Day,0.541625444,Troop,7212,1 BDE
23,RILEY15365,Custer Hill Troop,PW-14 Day,0.559957347,Troop,7052,1 BDE
24,RILEY15367,Custer Hill Troop,PW-14 Day,0.368806249,Troop,7103,1 BDE
25,RILEY15368,Custer Hill Troop,PW-14 Day,0.36401206,Troop,7212,1 BDE
26,RILEY15369,Custer Hill Troop,PW-14 Day,0.470663051,Troop,7002,1 BDE
27,RILEY15370,Custer Hill Troop,PW-14 Day,0.454226564,Troop,7001,1 BDE
28,RILEY15372,Custer Hill Troop,PW-14 Day,0.429665323,Troop,7103,1 BDE
29,RILEY15373,Custer Hill Troop,PW-14 Day,0.386879126,Troop,7052,1 BDE
30,RILEY15375,Custer Hill Troop,PW-14 Day,0.380423986,Troop,7002,1 BDE
31,RILEY15376,Custer Hill Troop,PW-14 Day,0.362912692,Troop,7232,1 BDE
32,RILEY15381,Custer Hill Troop,PW-14 Day,0.307484434,Troop,7026,1 BDE
33,RILEY15382,Custer Hill Troop,PW-14 Day,0.311022091,Troop,7001,1 BDE
34,RILEY15383,Custer Hill Troop,PW-14 Day,0.308046446,Troop,7123,1 BDE
35,RILEY15385,Custer Hill Troop,PW-14 Day,0.295896064,Troop,7052,1 BDE
36,RILEY15386,Custer Hill Troop,PW-14 Day,0.302427068,Troop,8410,1 BDE
37,RILEY15389,Custer Hill Troop,PW-14 Day,0.285163012,Troop,8410,1 BDE
38,RILEY15390,Custer Hill Troop,PW-14 Day,0.263442263,Troop,7212,1 BDE
39,RILEY15391,Custer Hill Troop,PW-14 Day,0.272357806,Troop,7011,1 BDE
40,RILEY15392,Custer Hill Troop,PW-14 Day,0.261422533,Troop,7006,1 BDE
41,RILEY15397,Custer Hill Troop,PW-14 Day,0.231086008,Troop,7245,2 BDE
42,RILEY15399,Custer Hill Troop,PW-14 Day,0.199358156,Troop,7024,1 BDE
43,RILEY15400,Custer Hill Troop,PW-14 Day,0.232740098,Troop,7002,1 BDE
44,RILEY15401,Custer Hill Troop,PW-14 Day,0.213061931,Troop,7052,1 BDE
45,RILEY15402,Custer Hill Troop,PW-14 Day,0.207310702,Troop,7103,1 BDE
46,RILEY15403,Custer Hill Troop,PW-14 Day,0.210881551,Troop,7002,1 BDE
47,RILEY15408,Custer Hill Troop,PW-14 Day,0.176917759,Troop,7024,1 BDE
48,RILEY15410,Custer Hill Troop,PW-14 Day,0.183844374,Troop,7212,1 BDE
49,RILEY15412,Custer Hill Troop,PW-14 Day,0.171351886,Troop,7270,2 BDE
50,RILEY15417,Custer Hill Troop,PW-14 Day,0.173312247,Troop,7034,1 BDE
51,RILEY15419,Custer Hill Troop,PW-14 Day,0.171744556,Troop,7006,1 BDE
52,RILEY15422,Custer Hill Troop,PW-14 Day,0.137541707,Troop,7024,1 BDE
53,RILEY15423,Custer Hill Troop,PW-14 Day,0.087713607,Troop,7011,1 BDE
54,RILEY15425,Custer Hill Troop,PW-14 Day,0.130199074,Troop,7006,1 BDE
55,RILEY15426,Custer Hill Troop,PW-14 Day,0.147637428,Troop,7011,1 BDE
56,RILEY15427,Custer Hill Troop,PW-14 Day,0.141313792,Troop,8410,1 BDE
57,RILEY15429,Custer Hill Troop,PW-14 Day,0.071748872,Troop,7232,1 BDE
58,RILEY15430,Custer Hill Troop,PW-14 Day,0.109998473,Troop,7034,1 BDE
59,RILEY15431,Custer Hill Troop,PW-14 Day,0.129265655,Troop,7424,2 BDE
60,RILEY15434,Custer Hill Troop,PW-14 Day,0.123562968,Troop,7270,2 BDE
61,RILEY15435,Custer Hill Troop,PW-14 Day,0.124240242,Troop,7011,1 BDE
